CHARSET,SERVER,WHOIS_COUNTRY,WHOIS_STATEPRO,URL_LENGTH,NUMBER_SPECIAL_CHARACTERS,CONTENT_LENGTH,TCP_CONVERSATION_EXCHANGE,DIST_REMOTE_TCP_PORT,REMOTE_IPS,APP_BYTES,SOURCE_APP_PACKETS,REMOTE_APP_PACKETS,SOURCE_APP_BYTES,REMOTE_APP_BYTES,APP_PACKETS,DNS_QUERY_TIMES,WHOIS_REGDATE_YEAR,WHOIS_REGDATE_MONTH,WHOIS_REGDATE_DAY,WHOIS_REGDATE_HOUR,WHOIS_REGDATE_MINUTE,WHOIS_UPDATED_DATE_YEAR,WHOIS_UPDATED_DATE_MONTH,WHOIS_UPDATED_DATE_DAY,WHOIS_UPDATED_DATE_HOUR,WHOIS_UPDATED_DATE_MINUTE,Type
UTF-8,NGINX,US,NY,31,7,,28,13,13,2773,32,32,6566,3037,32,4.0,1995,3,23,0,0,2017,3,3,0,0,0
UTF-8,OTHER,US,FL,31,7,5132.0,27,0,3,2743,33,33,43878,3181,33,6.0,2004,4,9,0,0,2016,8,24,0,0,0
US-ASCII,MICROSOFT-IIS/7.5,US,OTHER,31,6,324.0,23,1,4,2262,29,28,16553,2736,29,6.0,2005,9,9,13,44,2016,10,9,13,29,0
US-ASCII,MICROSOFT-HTTPAPI/2.0,,,31,6,324.0,18,14,3,2201,22,23,7756,2543,22,4.0,,,,,,,,,,,0
ISO-8859-1,APACHE,,,31,6,,23,17,3,3981,29,27,9867,4417,29,6.0,1997,4,22,0,0,2017,2,22,0,0,0
US-ASCII,MICROSOFT-HTTPAPI/2.0,US,FL,31,8,324.0,103,0,3,7073,105,113,179439,7217,105,2.0,1996,7,8,0,0,2015,5,14,0,0,0
UTF-8,APACHE,US,OTHER,31,6,,13,8,8,1355,16,16,1145,1519,16,2.0,2005,12,30,0,0,2015,5,11,0,0,0
ISO-8859-1,,US,CA,31,7,,57,45,12,8136,69,64,25686,9020,69,12.0,1997,3,29,0,0,2016,11,29,0,0,0
UTF-8,APACHE,US,CA,31,7,22004.0,0,0,0,0,0,0,0,0,0,0.0,2006,4,4,0,0,2017,3,3,0,0,0
ISO-8859-1,APACHE,US,CA,31,6,,0,0,0,0,0,0,0,0,0,0.0,1997,4,22,0,0,2017,2,22,0,0,0
ISO-8859-1,OTHER,US,OTHER,31,7,345.0,0,0,0,0,0,0,0,0,0,0.0,2000,5,25,0,0,2016,5,24,0,0,0
UTF-8,NGINX,,,32,11,643.0,22,1,5,2783,30,26,3824,3367,30,8.0,,,,,,,,,,,1
UTF-8,NGINX,,,32,9,637.0,14,1,4,1457,20,16,3229,1881,20,6.0,,,,,,,,,,,1
UTF-8,OTHER,US,WA,32,8,,0,0,0,0,0,0,0,0,0,0.0,1996,5,1,0,0,2016,5,5,0,0,0
ISO-8859-1,,US,OTHER,32,6,34.0,0,0,0,0,0,0,0,0,0,0.0,2008,9,7,0,0,2008,7,14,0,0,0
UTF-8,OTHER,US,WA,32,8,,0,0,0,0,0,0,0,0,0,0.0,1996,5,1,0,0,2016,5,5,0,0,0
UTF-8,OTHER,,,32,9,420762.0,17,5,8,1314,19,26,1881,1452,19,2.0,2006,10,5,20,0,,,,,,0
ISO-8859-1,APACHE,US,CA,32,8,1399.0,0,0,0,0,0,0,0,0,0,0.0,2006,7,29,0,0,2015,7,8,0,0,0
UTF-8,APACHE,CA,OTHER,32,6,,0,0,0,0,0,0,0,0,0,0.0,2010,9,27,0,0,2016,9,28,0,0,0
UTF-8,NGINX,US,NY,32,7,,0,0,0,0,0,0,0,0,0,0.0,2008,10,31,0,0,2016,1,12,0,0,0
UTF-8,NGINX,US,CA,32,7,,14,10,2,2000,20,20,9588,2498,20,6.0,2000,3,3,0,0,2017,12,1,0,0,0
ISO-8859-1,,US,CA,32,7,,49,42,5,7613,61,52,24774,8497,61,12.0,1997,3,29,0,0,2016,11,29,0,0,0
UTF-8,APACHE,,,32,8,,24,0,4,2176,28,29,17335,2456,28,4.0,2008,2,4,0,0,2017,1,23,0,0,0
UTF-8,,,,32,6,,4,3,2,432,4,5,310,432,4,0.0,1996,2,22,0,0,2015,1,16,0,0,0
UTF-8,MICROSOFT-IIS/7.5,OTHER,OTHER,32,8,328.0,5,3,2,474,5,7,426,474,5,0.0,2016,6,9,0,0,2017,12,3,0,0,0
UTF-8,APACHE,US,OTHER,32,7,,94,0,4,11902,102,121,173484,12492,102,8.0,1997,11,2,0,0,2012,10,9,0,0,0
US-ASCII,MICROSOFT-HTTPAPI/2.0,,,32,8,324.0,11,10,6,798,11,15,1124,798,11,0.0,1995,6,8,0,0,2012,7,24,0,0,0
ISO-8859-1,OTHER,US,OTHER,32,6,199.0,6,3,4,564,6,7,442,564,6,0.0,2008,10,23,0,0,2017,3,3,0,0,0
ISO-8859-1,APACHE,OTHER,OTHER,32,8,334.0,8,1,4,816,10,13,1541,958,10,2.0,2009,2,19,0,0,2015,12,22,0,0,0
ISO-8859-1,OTHER,US,OTHER,32,7,287.0,71,0,3,10999,73,70,88707,11147,73,2.0,1998,8,30,0,0,2016,12,22,0,0,0
UTF-8,APACHE,US,CA,32,7,20212.0,43,26,14,4214,49,28,9246,4650,49,6.0,2006,4,4,0,0,2017,3,3,0,0,0
UTF-8,OTHER,US,WA,32,8,,36,0,2,3185,40,40,50608,3465,40,4.0,1996,5,1,0,0,2016,5,5,0,0,0
UTF-8,OTHER,US,WA,32,8,,24,2,4,1888,28,25,40314,2168,28,4.0,1996,5,1,0,0,2016,5,5,0,0,0
UTF-8,,,,32,7,,7,0,3,734,11,12,7145,1060,11,4.0,2006,12,14,0,0,2016,12,13,0,0,0
UTF-8,OTHER,US,CA,32,7,11827.0,38,2,5,4607,42,35,58676,4945,42,4.0,2000,7,31,0,0,2016,6,29,0,0,0
ISO-8859-1,OTHER,US,OTHER,32,8,1108.0,13,0,2,2065,17,16,7280,2349,17,4.0,2005,3,22,3,36,2017,3,22,3,37,0
US-ASCII,,US,OTHER,32,7,324.0,0,0,0,0,0,0,0,0,0,0.0,2009,6,26,0,0,2017,3,29,0,0,0
UTF-8,NGINX,,,33,11,646.0,13,1,5,1497,17,14,2116,1787,17,4.0,,,,,,,,,,,1
UTF-8,NGINX,,,33,9,637.0,23,1,5,2851,31,26,3814,3431,31,8.0,,,,,,,,,,,1
UTF-8,NGINX,,,33,9,640.0,18,1,5,2147,24,20,2848,2577,24,6.0,,,,,,,,,,,1
UTF-8,NGINX,,,33,9,643.0,4,0,4,264,4,6,388,264,4,0.0,,,,,,,,,,,1
UTF-8,NGINX,,,33,9,,14,1,8,1151,18,15,1211,1445,18,4.0,2000,9,2,14,17,,,,,,1
UTF-8,NGINX,,,33,11,,8,0,2,1045,12,11,1362,1333,12,4.0,2007,8,6,0,0,2012,9,18,0,0,1
UTF-8,CLOUDFLARE-NGINX,US,NY,33,7,,0,0,0,0,0,0,0,0,0,0.0,1994,1,11,0,0,2015,10,27,0,0,0
UTF-8,OTHER,US,WA,33,8,,0,0,0,0,0,0,0,0,0,0.0,1996,5,1,0,0,2016,5,5,0,0,0
UTF-8,OTHER,US,WA,33,8,,0,0,0,0,0,0,0,0,0,0.0,1996,5,1,0,0,2016,5,5,0,0,0
UTF-8,,US,CA,33,6,,0,0,0,0,0,0,0,0,0,0.0,1996,2,22,0,0,2015,1,16,0,0,0
ISO-8859-1,APACHE,OTHER,OTHER,33,6,,0,0,0,0,0,0,0,0,0,0.0,2013,8,8,0,0,2016,7,26,0,0,0
UTF-8,OTHER,CA,OTHER,33,6,19890.0,0,0,0,0,0,0,0,0,0,0.0,2000,4,20,0,0,2017,4,25,0,0,0
UTF-8,OTHER,US,OTHER,33,8,,0,0,0,0,0,0,0,0,0,0.0,1995,2,21,0,0,2017,2,19,0,0,0
UTF-8,,US,CA,33,9,18302.0,0,0,0,0,0,0,0,0,0,0.0,1996,5,29,0,0,2016,4,26,0,0,0
ISO-8859-1,APACHE,OTHER,OTHER,33,7,318.0,0,0,0,0,0,0,0,0,0,0.0,2016,12,11,0,0,2016,11,16,0,0,0
UTF-8,OTHER,US,WA,33,8,,52,7,8,3438,56,51,46498,3718,56,4.0,1996,5,1,0,0,2016,5,5,0,0,0
ISO-8859-1,OTHER,,,33,7,,4,3,2,420,4,5,304,420,4,0.0,2000,8,2,0,0,2016,10,31,0,0,0
UTF-8,APACHE,US,OTHER,33,6,,7,5,4,606,7,6,474,606,7,0.0,2003,9,25,0,0,2014,7,18,0,0,0
UTF-8,OTHER,US,CA,33,8,,32,11,6,3694,40,32,11543,4286,40,8.0,2001,1,13,0,12,2015,12,12,10,16,0
UTF-8,OTHER,US,CA,33,7,60722.0,4,2,3,408,4,6,382,408,4,0.0,2000,7,31,0,0,2016,6,29,0,0,0
UTF-8,OTHER,US,OTHER,33,6,,8,4,5,660,8,9,556,660,8,0.0,2002,10,5,0,0,2016,7,27,0,0,0
ISO-8859-1,OTHER,US,FL,33,6,,5,4,2,486,5,7,542,486,5,0.0,2005,7,6,0,0,2016,5,23,0,0,0
UTF-8,OTHER,US,WA,33,8,,10,4,4,816,10,6,476,816,10,0.0,1996,5,1,0,0,2016,5,5,0,0,0
UTF-8,MICROSOFT-IIS/7.5,US,OTHER,33,6,39.0,24,1,4,3375,28,30,18396,3703,28,4.0,2012,8,19,0,0,2016,6,24,0,0,0
UTF-8,OTHER,OTHER,,33,8,1371.0,19,0,3,2042,27,27,4760,2622,27,8.0,2003,4,28,0,0,2017,4,29,0,0,0
UTF-8,OTHER,US,NY,33,7,,105,98,7,8692,111,130,179133,9172,111,6.0,1999,12,3,0,0,2016,11,16,0,0,0
ISO-8859-1,APACHE,US,CA,33,6,,0,0,0,0,0,0,0,0,0,0.0,1997,4,22,0,0,2017,2,22,0,0,0
UTF-8,NGINX,,,34,11,655.0,27,5,8,2721,35,27,3896,3313,35,8.0,,,,,,,,,,,1
UTF-8,NGINX,,,34,11,649.0,15,1,5,1632,21,18,2661,2068,21,6.0,,,,,,,,,,,1
ISO-8859-1,CLOUDFLARE-NGINX,OTHER,OTHER,34,9,,26,0,3,3569,32,31,10750,4037,32,6.0,2011,3,30,0,0,2017,4,28,0,0,1
ISO-8859-1,APACHE,,,34,9,214.0,9,0,4,850,11,14,1382,990,11,2.0,,,,,,,,,,,1
UTF-8,OTHER,US,OTHER,34,6,18298.0,0,0,0,0,0,0,0,0,0,0.0,2008,1,14,0,0,2017,1,14,0,0,0
US-ASCII,MICROSOFT-HTTPAPI/2.0,OTHER,,34,7,324.0,0,0,0,0,0,0,0,0,0,0.0,2000,3,26,0,0,2016,10,26,0,0,0
ISO-8859-1,,US,CA,34,7,1819.0,0,0,0,0,0,0,0,0,0,0.0,2002,2,11,0,0,2017,2,2,0,0,0
ISO-8859-1,,US,CA,34,7,1819.0,33,27,2,5235,41,40,14571,5835,41,8.0,2002,2,11,0,0,2017,2,2,0,0,0
UTF-8,OTHER,US,OTHER,34,8,,0,0,0,0,0,0,0,0,0,0.0,1995,2,21,0,0,2017,2,19,0,0,0
UTF-8,,US,CA,34,6,,0,0,0,0,0,0,0,0,0,0.0,1996,2,22,0,0,2015,1,16,0,0,0
ISO-8859-1,OTHER,CA,OTHER,34,7,,0,0,0,0,0,0,0,0,0,0.0,2010,10,4,0,0,2017,10,4,0,0,0
UTF-8,NGINX,US,CA,34,7,,0,0,0,0,0,0,0,0,0,0.0,2000,3,3,0,0,2017,12,1,0,0,0
UTF-8,OTHER,US,OTHER,34,7,6474.0,6,3,4,552,6,9,564,552,6,0.0,2010,6,5,16,44,2013,9,20,15,3,0
UTF-8,NGINX,CA,OTHER,34,7,,8,6,5,696,8,10,636,696,8,0.0,1999,8,17,12,43,2017,4,21,16,47,0
UTF-8,,,,34,6,,34,9,9,2412,34,7,442,2412,34,0.0,1996,2,22,0,0,2015,1,16,0,0,0
UTF-8,CLOUDFLARE-NGINX,OTHER,OTHER,34,7,,3,3,1,366,3,5,306,366,3,0.0,2006,4,10,0,0,2016,4,10,0,0,0
ISO-8859-1,APACHE,OTHER,,34,9,1486.0,5,3,2,498,5,5,306,498,5,0.0,2007,9,3,0,0,2015,3,3,0,0,0
UTF-8,OTHER,,,34,9,10892.0,3,3,1,366,3,4,244,366,3,0.0,1996,5,31,0,0,2016,4,15,0,0,0
ISO-8859-1,OTHER,US,WA,34,9,,4,3,2,432,4,5,310,432,4,0.0,1996,5,1,0,0,2016,5,5,0,0,0
UTF-8,OTHER,,,34,8,7255.0,17,1,2,1661,23,26,10015,2167,23,6.0,2004,7,29,0,0,2016,3,1,0,0,0
UTF-8,OTHER,US,CA,34,7,6608.0,42,0,3,4895,46,45,39544,5241,46,4.0,2000,7,31,0,0,2016,6,29,0,0,0
UTF-8,,US,CA,34,6,,34,25,9,3787,42,42,33677,4365,42,8.0,1996,2,22,0,0,2015,1,16,0,0,0
ISO-8859-1,OTHER,US,OTHER,34,9,111.0,21,0,5,2292,23,24,16147,2450,23,2.0,2005,1,17,0,0,2017,1,18,0,0,0
ISO-8859-1,APACHE,US,CA,34,6,,24,20,2,4372,31,33,13095,4808,31,6.0,1997,4,22,0,0,2017,2,22,0,0,0
ISO-8859-1,NGINX,US,CA,34,8,996.0,7,0,2,716,11,10,1979,1030,11,4.0,2005,1,6,0,0,2016,9,9,0,0,0
ISO-8859-1,NGINX,US,OTHER,34,7,1501.0,23,3,11,2042,29,29,7939,2520,29,6.0,1999,12,22,0,0,2012,5,24,0,0,0
UTF-8,OTHER,US,OTHER,34,7,,0,0,0,0,0,0,0,0,0,0.0,2002,11,8,0,0,2016,4,7,0,0,0
ISO-8859-1,APACHE,US,CA,34,7,,0,0,0,0,0,0,0,0,0,0.0,1997,4,22,0,0,2017,2,22,0,0,0
US-ASCII,MICROSOFT-IIS/7.5,US,OTHER,34,6,324.0,0,0,0,0,0,0,0,0,0,0.0,2003,11,17,0,0,2016,11,11,0,0,0
ISO-8859-1,APACHE,,,35,9,7314.0,39,0,3,3240,45,45,35301,3722,45,6.0,2009,9,21,0,0,2016,9,8,0,0,1
ISO-8859-1,APACHE,,,35,9,7314.0,39,0,2,3240,45,45,35301,3722,45,6.0,2009,9,21,0,0,2016,9,8,0,0,1
UTF-8,APACHE,CA,OTHER,35,11,,18,0,2,2102,20,21,20976,2252,20,2.0,2008,8,14,0,0,2016,9,8,0,0,1
UTF-8,NGINX,,,35,11,652.0,15,1,5,1635,21,17,2640,2073,21,6.0,,,,,,,,,,,1
UTF-8,NGINX,,,35,11,652.0,21,1,5,2367,29,26,3801,2957,29,8.0,,,,,,,,,,,1
UTF-8,NGINX,,,35,9,646.0,12,1,5,1340,16,12,964,1622,16,4.0,,,,,,,,,,,1
UTF-8,NGINX,,,35,11,652.0,19,1,5,2223,25,20,2868,2661,25,6.0,,,,,,,,,,,1
UTF-8,NGINX,,,35,11,652.0,18,1,5,2157,24,22,2996,2595,24,6.0,,,,,,,,,,,1
UTF-8,NGINX,,,35,11,652.0,19,1,5,2223,25,22,2996,2661,25,6.0,,,,,,,,,,,1
UTF-8,NGINX,,,35,11,652.0,23,1,5,2864,31,25,3773,3454,31,8.0,,,,,,,,,,,1
ISO-8859-1,CLOUDFLARE-NGINX,OTHER,OTHER,35,8,,15,1,2,1850,21,23,2970,2302,21,6.0,2010,8,22,0,0,2017,4,28,0,0,1
ISO-8859-1,OTHER,OTHER,OTHER,35,9,,0,0,0,0,0,0,0,0,0,0.0,1996,8,7,0,0,2017,7,3,0,0,0
UTF-8,OTHER,US,CA,35,8,4685.0,0,0,0,0,0,0,0,0,0,0.0,2001,1,13,0,12,2015,12,12,10,16,0
UTF-8,OTHER,US,OTHER,35,8,,0,0,0,0,0,0,0,0,0,0.0,1995,2,21,0,0,2017,2,19,0,0,0
US-ASCII,MICROSOFT-IIS/7.5,,,35,6,324.0,22,15,8,1527,24,25,1928,1699,24,2.0,2014,3,21,0,0,2017,3,22,0,0,0
UTF-8,OTHER,US,WA,35,8,,21,1,4,2435,25,25,39924,2715,25,4.0,1996,5,1,0,0,2016,5,5,0,0,0
US-ASCII,MICROSOFT-HTTPAPI/2.0,US,CA,35,9,324.0,49,10,6,2961,53,61,38255,3261,53,4.0,1998,10,22,0,0,2017,3,16,0,0,0
UTF-8,NGINX,OTHER,OTHER,35,9,39362.0,4,3,2,420,4,4,244,420,4,0.0,2002,3,20,23,59,2017,7,3,22,2,0
UTF-8,NGINX,US,NY,35,7,,3,3,1,366,3,4,244,366,3,0.0,1995,3,23,0,0,2017,3,3,0,0,0
UTF-8,APACHE,US,OTHER,35,9,,4,3,2,432,4,6,372,432,4,0.0,2010,8,7,0,0,2017,4,24,0,0,0
UTF-8,OTHER,US,CA,35,10,,10,9,4,756,10,12,861,756,10,0.0,1995,1,18,0,0,2015,8,26,0,0,0
UTF-8,OTHER,CA,OTHER,35,7,14462.0,8,6,6,696,8,5,306,696,8,0.0,2009,7,17,0,0,2016,7,7,0,0,0
UTF-8,APACHE,,,35,9,,4,4,2,432,4,6,372,432,4,0.0,,,,,,,,,,,0
UTF-8,OTHER,US,WA,35,8,,21,12,12,1446,21,24,1788,1446,21,0.0,1996,5,1,0,0,2016,5,5,0,0,0
ISO-8859-1,OTHER,OTHER,,35,7,289.0,5,4,3,474,5,6,364,474,5,0.0,2001,5,24,20,47,2017,1,27,0,20,0
US-ASCII,MICROSOFT-HTTPAPI/2.0,US,OTHER,35,6,324.0,23,8,5,3087,29,27,19078,3535,29,6.0,2004,6,27,0,0,2012,11,19,0,0,0
UTF-8,OTHER,US,CA,35,7,38115.0,45,3,7,3507,49,46,42286,3857,49,4.0,2000,7,31,0,0,2016,6,29,0,0,0
UTF-8,OTHER,US,WA,35,8,,37,0,3,3263,43,42,52720,3697,43,6.0,1996,5,1,0,0,2016,5,5,0,0,0
UTF-8,CLOUDFLARE-NGINX,,,35,9,,12,2,6,1258,16,17,1862,1542,16,4.0,2004,4,3,0,0,2015,5,10,0,0,0
ISO-8859-1,,US,CA,35,9,,44,40,6,6945,56,51,26115,7849,56,12.0,1997,3,29,0,0,2016,11,29,0,0,0
UTF-8,OTHER,US,CA,35,7,8813.0,41,6,4,4769,45,42,69898,5119,45,4.0,2000,7,31,0,0,2016,6,29,0,0,0
ISO-8859-1,APACHE,OTHER,OTHER,35,8,1002.0,32,5,8,2965,36,39,37146,3279,36,4.0,2004,1,6,0,0,2016,2,6,0,0,0
UTF-8,APACHE,US,NY,35,7,16875.0,0,0,0,0,0,0,0,0,0,0.0,1995,12,13,0,0,2016,10,11,0,0,0
UTF-8,OTHER,US,WA,35,8,,27,1,5,2771,31,33,36261,3051,31,4.0,1996,5,1,0,0,2016,5,5,0,0,0
ISO-8859-1,APACHE,,,35,7,330.0,16,9,8,1275,18,23,2306,1423,18,2.0,2000,10,11,0,0,2016,2,19,0,0,0
UTF-8,,US,CA,35,6,,0,0,0,0,0,0,0,0,0,0.0,1996,2,22,0,0,2015,1,16,0,0,0
ISO-8859-1,APACHE,OTHER,OTHER,35,8,1002.0,0,0,0,0,0,0,0,0,0,0.0,2004,1,6,0,0,2016,2,6,0,0,0
UTF-8,NGINX,,,36,10,655.0,208,18,9,20074,228,216,270752,21646,228,20.0,,,,,,,,,,,1
UTF-8,NGINX,,,36,11,655.0,7,1,5,466,11,10,822,760,11,4.0,,,,,,,,,,,1
UTF-8,NGINX,,,36,11,655.0,17,1,7,1770,23,17,2579,2210,23,6.0,,,,,,,,,,,1
UTF-8,NGINX,,,36,9,646.0,11,1,4,1266,15,12,966,1554,15,4.0,,,,,,,,,,,1
UTF-8,NGINX,,,36,11,655.0,21,1,5,2359,29,23,3542,2951,29,8.0,,,,,,,,,,,1
UTF-8,NGINX,,,36,11,655.0,19,1,5,2227,27,23,3612,2819,27,8.0,,,,,,,,,,,1
ISO-8859-1,CLOUDFLARE-NGINX,OTHER,OTHER,36,8,,6,0,4,372,8,10,703,520,8,2.0,2010,8,22,0,0,2017,4,28,0,0,1
ISO-8859-1,NGINX,US,CA,36,8,10133.0,0,0,0,0,0,0,0,0,0,0.0,2005,1,6,0,0,2016,9,9,0,0,0
US-ASCII,MICROSOFT-HTTPAPI/2.0,,,36,8,324.0,0,0,0,0,0,0,0,0,0,0.0,2003,10,30,0,0,2016,10,9,0,0,0
ISO-8859-1,OTHER,US,OTHER,36,7,,0,0,0,0,0,0,0,0,0,0.0,1998,9,5,0,0,2016,10,5,0,0,0
ISO-8859-1,OTHER,US,CA,36,6,1108.0,0,0,0,0,0,0,0,0,0,0.0,2006,5,10,0,0,2017,4,3,0,0,0
US-ASCII,MICROSOFT-HTTPAPI/2.0,US,OTHER,36,7,324.0,0,0,0,0,0,0,0,0,0,0.0,2005,10,14,0,0,2017,4,21,0,0,0
ISO-8859-1,,US,CA,36,7,,0,0,0,0,0,0,0,0,0,0.0,1997,3,29,0,0,2016,11,29,0,0,0
ISO-8859-1,NGINX,OTHER,OTHER,36,8,,18,2,8,1432,20,27,2113,1572,20,2.0,2003,8,9,0,0,2016,10,24,0,0,0
UTF-8,APACHE,OTHER,OTHER,36,8,,14,10,6,1096,16,19,1294,1246,16,2.0,2008,7,13,0,0,2015,9,12,0,0,0
UTF-8,NGINX,US,CA,36,7,,3,3,1,366,3,4,244,366,3,0.0,2000,3,3,0,0,2017,12,1,0,0,0
ISO-8859-1,OTHER,,,36,8,,2,2,1,276,2,3,184,276,2,0.0,1996,8,22,0,0,2016,8,18,0,0,0
UTF-8,OTHER,US,CA,36,8,,5,3,3,498,5,7,438,498,5,0.0,2001,1,13,0,12,2015,12,12,10,16,0
ISO-8859-1,OTHER,US,OTHER,36,8,,5,3,2,474,5,5,306,474,5,0.0,2002,1,5,0,0,2012,1,9,0,0,0
US-ASCII,CLOUDFLARE-NGINX,,,36,8,,18,2,6,1706,22,19,2165,1994,22,4.0,2005,10,6,0,0,2015,4,6,0,0,0
UTF-8,APACHE,US,CA,36,7,19879.0,61,7,6,6100,65,79,123896,6388,65,4.0,2006,4,4,0,0,2017,3,3,0,0,0
UTF-8,OTHER,US,CA,36,8,,85,73,9,7506,91,96,107416,7962,91,6.0,2001,1,13,0,12,2015,12,12,10,16,0
US-ASCII,MICROSOFT-HTTPAPI/2.0,,,36,7,324.0,8,0,2,784,10,11,16959,958,10,2.0,2000,7,9,0,0,2016,8,12,0,0,0
UTF-8,OTHER,,,36,8,,22,8,4,2680,28,19,7746,3172,28,6.0,2015,12,31,0,0,2016,12,25,0,0,0
ISO-8859-1,OTHER,,,36,6,210.0,3,0,1,466,5,6,668,640,5,2.0,2007,8,12,0,0,2017,3,28,0,0,0
ISO-8859-1,CLOUDFLARE-NGINX,US,CA,36,7,3326.0,14,7,5,1060,16,18,5214,1234,16,2.0,2008,6,4,0,0,2014,12,18,0,0,0
ISO-8859-1,OTHER,US,OTHER,36,7,293.0,12,0,4,1331,16,13,4860,1631,16,4.0,1998,7,16,0,0,2016,5,16,0,0,0
ISO-8859-1,OTHER,,,36,7,231.0,7,0,2,730,9,11,1284,870,9,2.0,2001,9,2,0,0,2016,12,28,0,0,0
UTF-8,APACHE,US,OTHER,36,7,11418.0,17,0,4,2319,21,21,14373,2615,21,4.0,1999,12,28,0,0,2014,12,28,0,0,0
ISO-8859-1,OTHER,,,36,8,,0,0,0,0,0,0,0,0,0,0.0,2008,1,21,0,0,2016,4,17,0,0,0
UTF-8,APACHE,OTHER,OTHER,36,8,,0,0,0,0,0,0,0,0,0,0.0,1996,2,27,0,0,2016,1,27,0,0,0
UTF-8,OTHER,US,CA,36,7,11692.0,0,0,0,0,0,0,0,0,0,0.0,2000,7,31,0,0,2016,6,29,0,0,0
UTF-8,APACHE,OTHER,OTHER,37,10,,49,0,1,3505,51,53,66214,3657,51,2.0,2006,7,10,0,0,2017,7,3,0,0,1
WINDOWS-1251,OTHER,US,OTHER,37,9,296.0,2,0,2,128,4,5,407,276,4,2.0,2004,12,18,0,0,2016,1,12,0,0,1
ISO-8859-1,NGINX,OTHER,OTHER,37,9,162.0,1,0,1,66,3,4,404,206,3,2.0,2009,9,2,0,0,2017,4,27,0,0,1
ISO-8859-1,APACHE,,,37,11,,44,2,10,5009,50,50,40316,5511,50,6.0,1998,4,11,0,0,2016,11,15,0,0,1
ISO-8859-1,NGINX,OTHER,OTHER,37,10,,12,0,2,1961,16,14,2991,2245,16,4.0,2016,4,11,0,0,2016,8,11,0,0,1
ISO-8859-1,APACHE,,,37,9,188.0,19,0,6,1525,21,13,1363,1667,21,2.0,,,,,,,,,,,1
UTF-8,OTHER,CA,OTHER,37,7,,0,0,0,0,0,0,0,0,0,0.0,2004,4,15,0,0,2016,2,22,0,0,0
ISO-8859-1,OTHER,US,OTHER,37,7,6062.0,0,0,0,0,0,0,0,0,0,0.0,2010,2,7,0,0,2017,4,25,0,0,0
ISO-8859-1,OTHER,US,OTHER,37,7,219.0,0,0,0,0,0,0,0,0,0,0.0,2007,12,11,20,49,2017,3,28,18,16,0
ISO-8859-1,APACHE,OTHER,OTHER,37,9,1002.0,0,0,0,0,0,0,0,0,0,0.0,2004,1,6,0,0,2016,2,6,0,0,0
UTF-8,APACHE,US,OTHER,37,10,14109.0,0,0,0,0,0,0,0,0,0,0.0,2006,2,22,0,0,2017,1,22,0,0,0
US-ASCII,MICROSOFT-HTTPAPI/2.0,US,OTHER,37,8,324.0,0,0,0,0,0,0,0,0,0,0.0,2000,5,6,0,0,2015,6,7,0,0,0
UTF-8,OTHER,US,CA,37,9,,0,0,0,0,0,0,0,0,0,0.0,1996,9,12,0,0,2015,9,10,0,0,0
UTF-8,CLOUDFLARE-NGINX,US,OTHER,37,8,,0,0,0,0,0,0,0,0,0,0.0,1999,10,14,0,0,2013,11,20,0,0,0
UTF-8,OTHER,US,OTHER,37,9,8022.0,23,5,8,1674,23,11,696,1674,23,0.0,2006,10,5,23,10,2016,11,5,14,19,0
UTF-8,NGINX,OTHER,OTHER,37,9,32441.0,11,10,7,834,11,14,882,834,11,0.0,2002,3,20,23,59,2017,7,3,22,2,0
ISO-8859-1,OTHER,US,OTHER,37,7,7891.0,6,5,2,540,6,8,535,540,6,0.0,2001,2,22,0,0,2017,1,24,0,0,0
ISO-8859-1,,US,CA,37,8,,4,2,2,408,4,5,328,408,4,0.0,1997,3,29,0,0,2016,11,29,0,0,0
UTF-8,APACHE,US,CA,37,8,1840.0,8,5,5,648,8,11,739,648,8,0.0,1997,11,9,4,0,2015,9,12,14,43,0
ISO-8859-1,OTHER,,,37,8,12768.0,6,4,3,540,6,6,474,540,6,0.0,2000,10,16,0,0,2016,10,25,0,0,0
UTF-8,OTHER,US,NY,37,7,,4,0,3,268,6,6,557,444,6,2.0,2006,8,6,0,0,2017,4,21,0,0,0
ISO-8859-1,APACHE,,,37,9,,31,7,12,2531,37,35,14050,3005,37,6.0,,,,,,,,,,,0
UTF-8,,US,CA,37,7,,27,23,1,3355,33,35,31623,3781,33,6.0,1996,2,22,0,0,2015,1,16,0,0,0
UTF-8,NGINX,US,OTHER,37,8,,44,0,4,3767,48,48,129181,4079,48,4.0,2001,4,18,0,0,2017,4,19,0,0,0
ISO-8859-1,NGINX,US,OTHER,37,8,4297.0,16,1,6,1607,22,18,1690,2055,22,6.0,1993,5,8,0,0,2016,1,7,0,0,0
UTF-8,NGINX,OTHER,OTHER,37,9,,15,6,7,1283,17,15,2201,1425,17,2.0,2011,2,17,0,0,2017,2,18,0,0,0
ISO-8859-1,,US,CA,37,9,,21,0,4,1643,23,31,21144,1797,23,2.0,1999,10,24,0,0,2016,7,29,0,0,0
UTF-8,OTHER,US,NY,37,8,135444.0,68,6,7,5207,70,88,247488,5345,70,2.0,1996,2,11,0,0,2014,11,26,0,0,0
UTF-8,OTHER,US,CA,37,9,616.0,18,5,10,2248,26,28,3605,2890,26,8.0,1995,1,18,0,0,2015,8,26,0,0,0
